,Unnamed: 0,id,turn,message,is_question,gold_score,is_question_score
21076,53024,11f28a6a-b779-41d3-84b2-ea1ede3492fe,5,What's my Account Number?,1,1,0.9987647636237990
15441,39064,ffab9809-35de-4c0b-84b8-ad799e8842f2,1,Consolidation loan,0,0,0.7723879993919870
7828,19911,434c9307-2b7c-4af5-b391-0da8d6bfea4c,27,How do I contact you?,1,1,0.9999004295340950
9083,23061,f17f8964-66e2-4620-b3d4-fd827ba1ae2c,2,What are your hours?,1,1,0.9923125399144730
13245,33482,b13cee54-b7fe-42f3-b8e9-d14aa57cec72,1,I’m a member and am interested in your money market funds. I don’t want monthly activity requirements and the ability to put in over $25K. What are my options?,1,1,0.5191562957398180
22143,55667,0adcff56-cedd-43db-a426-2c59af957b3e,5,How do I skip a loan payment?,1,1,0.9998193232187570
3635,9331,50b9f8c9-f978-41e8-9227-d50d09a276d2,1,What can this thing do?,1,1,0.9999995078068690
26427,66380,3189197f-6d75-40da-b4bd-51d69c87b0d1,1,I am trying to use my VISA card online and it is being rejected. I have never had a problem with it in the past. HELP!!,0,0,0.9663628634837800
29096,72841,e40fb687-55d8-4072-9c3a-6776442f7b84,1,flash202,0,0,0.7607104133583560
27252,68362,9d637ae9-d25c-418c-8cf3-f0fb32877ee1,1,What hours are you open,1,1,0.9888056380387870
13791,34859,17ef7e59-02a3-4634-a28e-096e78711336,3,There are no savings rates to click on,0,0,0.9047923932251190
25709,64610,b1f46352-1e05-4a5e-b207-4460fd35cf0f,1,I want to talk to a real person.,0,0,0.9100101160691470
5429,13939,08e53514-5aef-489a-8d6b-cdbb3be6a5b0,1,Card not working,0,0,0.9516401683752310
14561,36847,37631d9d-6b69-45e0-a709-b0a75f80cd6f,3,What's the check-hold policy?,1,1,0.9998430808783320
13127,33176,75b17eb5-1108-4553-9040-753955286b10,3,I need help from an agent,0,0,0.9495649197822840
12445,31429,b980d460-b13e-4bc0-8397-8c9558a6fab4,7,boo,0,0,0.7698274353551870
33393,83208,08387905-51dd-4afe-9821-f4f04aef1520,3,Want to set up online banking,0,0,0.8938465013926750
29501,73809,da905e03-0f64-4d98-953a-ede582c33b96,1,Set up online account for my credit card payments ,0,0,0.8961675168189660
10579,26756,ae1525c9-0f36-485d-a14d-7283f6264ce5,1,name change,1,0,0.9712125650959030
23502,58999,3ec68f87-a380-4f09-b9d7-c5e88adae078,3,Speak to a real person,0,0,0.9384871049693360
27025,67822,26095bc5-de20-4cad-8c89-3dc36b421c8f,5,Contact info,0,0,0.727939614368589
6467,16584,f515770f-d2d7-44a9-bfb6-fe2870f40756,1,mortgage preaproval,0,0,0.6614314988523830
31485,78581,ef576614-8b21-4afc-9acb-7588a218a397,7,application loan link does not work,0,0,0.9314041822678830
10507,26578,5b5aebc1-df43-4eae-b453-e3fa3709660d,3,What if I can't make my loan payments?,1,1,0.999573638763088
