text,label
How did serfdom develop in and then leave Russia ?,1
What films featured the character Popeye Doyle ?,1
How can I find a list of celebrities ' real names ?,1
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,1
What is the full form of .com ?,1
What contemptible scoundrel stole the cork from my lunch ?,1
What team did baseball 's St. Louis Browns become ?,1
What is the oldest profession ?,1
What are liver enzymes ?,1
Name the scar-faced bounty hunter of The Old West .,1
When was Ozzy Osbourne born ?,1
Why do heavier objects travel downhill faster ?,1
Who was The Pride of the Yankees ?,1
Who killed Gandhi ?,1
What is considered the costliest disaster the insurance industry has ever faced ?,1
What sprawling U.S. state boasts the most airports ?,1
What did the only repealed amendment to the U.S. Constitution deal with ?,1
How many Jews were executed in concentration camps during WWII ?,1
What is `` Nine Inch Nails '' ?,1
What is an annotated bibliography ?,1
What is the date of Boxing Day ?,1
What articles of clothing are tokens in Monopoly ?,1
Name 11 famous martyrs .,1
What 's the Olympic motto ?,1
What is the origin of the name ` Scarlett ' ?,1
What 's the second-most-used vowel in English ?,1
Who was the inventor of silly putty ?,1
What is the highest waterfall in the United States ?,1
Name a golf course in Myrtle Beach .,1
Which two states enclose Chesapeake Bay ?,1
What does the abbreviation AIDS stand for ?,1
What does a spermologer collect ?,1
How many points make up a perfect fivepin bowling score ?,1
Which company that manufactures video-game hardware sells the `` super system '' ?,1
How many Community Chest cards are there in Monopoly ?,1
What do Mormons believe ?,1
When did the neanderthal man live ?,1
In what religion was Isis the nature goddess ?,1
Where do the adventures of `` The Swiss Family Robinson '' take place ?,1
What relative of the racoon is sometimes known as the cat-bear ?,1
How can I register my website in Yahoo for free ?,1
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,1
How many people in the world speak French ?,1
How many inches over six feet is the Venus de Milo ?,1
How do they find or choose witnesses to an execution ?,1
What 1920s cowboy star rode Tony the Wonder Horse ?,1
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,1
What ISPs exist in the Caribbean ?,1
How do you ask a total stranger out on a date ?,1
What weapon is the mythological character Apollo most proficient with ?,1
What country do the Galapagos Islands belong to ?,1
What is ethology ?,1
Who was the prophet of the Muslim people ?,1
Where did the term `` 86ed '' come from ?,1
Who is Snoopy 's arch-enemy ?,1
What is the nature of learning ?,1
What 's the only color Johnny Cash wears on stage ?,1
What 's the term for a young fox ?,1
What U.S. state lived under six flags ?,1
What is the Kashmir issue ?,1
Where is the Loop ?,1
What does `` extended definition '' mean and how would one write a paper on it ?,1
What country 's capital is Tirana ?,1
What is titanium ?,1
Who do Herb and Tootsie live next door to ?,1
Which city has the oldest relationship as a sisterðcity with Los Angeles ?,1
What is a caldera ?,1
Why do people get calluses ?,1
What are the names of the tourist attractions in Reims ?,1
What are Cushman and Wakefield known for ?,1
What body of water does the Danube River flow into ?,1
Who is the founder of Scientology ?,1
What does the six-footed Musca domestica become when it enters a house ?,1
What is the history of skateboarding ?,1
