,Unnamed: 0,id,turn,message,message_clean,topic,topic_label,tfidf_score,deviance,is_question,is_question_score,gold_score
21076,53024,11f28a6a-b779-41d3-84b2-ea1ede3492fe,5,What's my Account Number?,account number,topic #33,"account number, number, account, checking account, savings account, phone",1.6922304345384300,-0.07294191043576800,1,1.0,1
15441,39064,ffab9809-35de-4c0b-84b8-ad799e8842f2,1,Consolidation loan,consolidation loan,topic #2,"loan, car, car loan, personal, personal loan, loan payment",1.6286402638600800,-0.13653208111412300,0,0.9963344777795810,0
7828,19911,434c9307-2b7c-4af5-b391-0da8d6bfea4c,27,How do I contact you?,contact,topic #4,"contact, contact information, change contact, contact info, information, someone",1.0,-0.7651723449741990,1,1.0,1
9083,23061,f17f8964-66e2-4620-b3d4-fd827ba1ae2c,2,What are your hours?,hour,topic #3,"hour, drive, branch hour, branch, business, lobby",1.0,-0.7651723449741990,1,0.9,1
13245,33482,b13cee54-b7fe-42f3-b8e9-d14aa57cec72,1,I’m a member and am interested in your money market funds. I don’t want monthly activity requirements and the ability to put in over $25K. What are my options?,member interested money market fund monthly activity requirement ability put $ 25k. option,topic #40,"money, transfer money, market, money market, transfer, market account",3.2679215464070800,1.5027492014328800,0,0.9,1
22143,55667,0adcff56-cedd-43db-a426-2c59af957b3e,5,How do I skip a loan payment?,skip loan payment,topic #25,"payment, make, loan payment, make loan, skip, skip payment",2.1404153701921700,0.37524302521796900,1,1.0,1
3635,9331,50b9f8c9-f978-41e8-9227-d50d09a276d2,1,What can this thing do?,thing,topic #6,"thing, type, zelle, enter, expedite title, expedite",1.0,-0.7651723449741990,1,1.0,1
26427,66380,3189197f-6d75-40da-b4bd-51d69c87b0d1,1,I am trying to use my VISA card online and it is being rejected. I have never had a problem with it in the past. HELP!!,try use visa card online reject never problem past,topic #34,"atm, use, atm use, limit, use atm, cash",3.221667323990660,1.4564949790164600,0,0.8,0
29096,72841,e40fb687-55d8-4072-9c3a-6776442f7b84,1,flash202,flash202,topic #0,"talk real, talk, real person, real, person, human",0.0,-1.7651723449742000,0,0.9963344777795810,0
27252,68362,9d637ae9-d25c-418c-8cf3-f0fb32877ee1,1,What hours are you open,hour open,topic #3,"hour, drive, branch hour, branch, business, lobby",1.4134556748735000,-0.3517166701006980,1,0.9,1
13791,34859,17ef7e59-02a3-4634-a28e-096e78711336,3,There are no savings rates to click on,saving rate click,topic #44,"saving, checking, saving account, checking account, account, open checking",1.4040211679971800,-0.36115117697701800,0,1.0,0
25709,64610,b1f46352-1e05-4a5e-b207-4460fd35cf0f,1,I want to talk to a real person.,talk real person,topic #0,"talk real, talk, real person, real, person, human",2.2343035330802700,0.4691311881060730,0,0.8,0
5429,13939,08e53514-5aef-489a-8d6b-cdbb3be6a5b0,1,Card not working,card work,topic #19,"card, debit, debit card, new, new debit, replacement",1.6791422911349600,-0.08603005383924070,0,0.5990228013029320,0
3036,7806,fbe54ebe-332b-459a-b5ae-ccb9ead7e356,1,How do I contact you?,contact,topic #4,"contact, contact information, change contact, contact info, information, someone",1.0,-0.7651723449741990,1,1.0,1
14561,36847,37631d9d-6b69-45e0-a709-b0a75f80cd6f,3,What's the check-hold policy?,check hold policy,topic #12,"check, check account, cashier check, cashier, check balance, deposit check",2.1857296525771500,0.4205573076029510,1,1.0,1
13127,33176,75b17eb5-1108-4553-9040-753955286b10,3,I need help from an agent,agent,topic #1,"agent, speak, talk, live, please, question",1.0,-0.7651723449741990,0,0.5,0
12445,31429,b980d460-b13e-4bc0-8397-8c9558a6fab4,7,boo,boo,topic #0,"talk real, talk, real person, real, person, human",0.0,-1.7651723449742000,0,0.9963344777795810,0
24199,60779,9e4c9c2f-5f6c-4ea8-b95b-f4f3a26b2c30,1,I want to talk to a real person.,talk real person,topic #0,"talk real, talk, real person, real, person, human",2.2343035330802700,0.4691311881060730,0,0.8,0
33393,83208,08387905-51dd-4afe-9821-f4f04aef1520,3,Want to set up online banking,set online banking,topic #18,"online, online banking, banking, log online, account online, online account",2.2005195556368200,0.4353472106626240,0,0.6,0
29501,73809,da905e03-0f64-4d98-953a-ede582c33b96,1,Set up online account for my credit card payments ,set online account credit card payment,topic #9,"credit card, card, credit, know, know credit, apply credit",3.0349773492398600,1.269805004265660,0,0.8983590406530410,0
10579,26756,ae1525c9-0f36-485d-a14d-7283f6264ce5,1,name change,name change,topic #48,"pin, change, change pin, address, find, card pin",1.4080251830366300,-0.35714716193757100,1,0.7009771986970680,0
23502,58999,3ec68f87-a380-4f09-b9d7-c5e88adae078,3,Speak to a real person,speak real person,topic #15,"person, real, real person, speak, chat, live person",1.9017625547795300,0.13659020980533400,0,0.6,0
27025,67822,26095bc5-de20-4cad-8c89-3dc36b421c8f,5,Contact info,contact info,topic #28,"info, contact info, contact, account info, update account, update",1.7198680447744900,-0.04530430019970470,0,0.8977107339539980,0
14898,37703,6e223dc6-3018-4c89-8112-8eaad72a9e8d,1,I want to talk to a real person.,talk real person,topic #0,"talk real, talk, real person, real, person, human",2.2343035330802700,0.4691311881060730,0,0.8,0
22351,56174,7ce8bca9-4e7b-4366-b795-04921f32c59e,1,How do I contact you?,contact,topic #4,"contact, contact information, change contact, contact info, information, someone",1.0,-0.7651723449741990,1,1.0,1
